Nr DIEx DA MISSÃO	EVENTO OU MISSÃO	PRAZO	DIAS PARA O EVENTO	MILITAR RESPONSÁVEL	SITUAÇÃO	CLASSE	DATA DA ÚLTIMA ATUALIZAÇÃO COM O E-4	ANOTAÇÕES	Nr DIEx ENCAMINHAMENTO PARA OMDS	Nr DIEx PARA O ESC SUPERIOR
8891-E-4/EMG/Cmdo Bda Inf Amv	Andamento dos Subprojetos da 4ª Seção - Brigada de Infantaria Amv 2040	31 out. 25	-258	Maj Filipe	ACOMPANHAR	-		"1. apresentação com 01 (um) slide que resumaas principais ações de suas respectivas equipes em prol do desenvolvimento dos subprojetos demateriais e logística da Bda Inf Amv

- 2º BI Amv
- 5º BI Amv
- 6º BI Amv
- 20º GAC Amv
- 22º B Log Amv
- Cia Cmdo
- 12ª Cia Eng Cmb Amv
- 12ª Cia Com Amv
- 2ª Cia Prec"		
25540-Escalão Logístico/2ªRM	Classe II: retificação da nomenclatura da "Mochila de Assalto" (Especificação Técnicanº62/2020) para "Bornal de Assalto" - 2ª RM	22 dez. 25	-206	Maj Filipe	RESOLVIDO	Cl II		"2. Doc saiu para TODAS OMDS. Não precisava!!

- 5º BI Amv - 36-S4/6° BI Amv (5 Jan)
- 20º GAC Amv -  71-S4/EM/20º GAC Amv
- 22º B Log Amv - Verificar se enviou para a 2ª RM

3. Sol informalmente a resposta  se os  materiais existentes fisicamente na OM correspondem ao material retratado nas fotografias anexas e remeter resposta na opção 1 ou 2 (2 Jan). - OK
4. O DIEx deve ser confeccionado à 2ª RM com cópia para a Bda Inf Amv, fazendo referência ao DIEx 25540."	11352-E-4/EMG/Cmdo Bda Inf Amv (22 Dez).	-
24794-Escalão Logístico/2ªRM	Classe VIII - Saúde: regularização do estoque (SISCOFIS)	10 jan.	-187	ST Valter	RESOLVIDO	Cl VIII - Sau		"CONTROLE:
- Ba Adm - FALTA
- 2º BI Amv - FALTA
- 5º BI Amv - 137-S4/5º BIL
- 6º BI Amv - Não possui estoque - Base Adm
- 20º GAC Amv - 57-FISC/DA/BASE ADM e 140-EM/20º GAC Amv
- 22º B Log Amv - 78-Fsb/22º B Log Amv
- 1º Esqd C Amv - 1989-SEC SAU/FUSEX/CMDO
- 5ª Bia AAAe Amv - 19-4ª Sec/5ª Bia AAAe AMV
- 2ª Cia Prec -  Não possui estoque - Base Adm 
-  12ª Cia Com Amv - Não possui estoque - Base Adm
- 12ª Cia Eng - 33-S4/Pel Cmd /12ª Cia E Cmb Amv
- 12º Pel PE - Não tem Cl VIII - 717-4ª Seç/12º Pel PE Amv"	10935-E-4/EMG/Cmdo Bda Inf Amv	"333-E-4/EMG/Cmdo Bda Inf Amv

691-E-4/EMG/Cmdo Bda Inf Amv 

1844-Escalão Logístico/2ªRM"
25-COL/22º B Log Amv	Classe I - Rç Op recebida com data de validade próxima	14 jan.	-183	Maj Filipe	RESOLVIDO	Cl I		1. 22º B Log Distr todas as Rç por ocasião do APRONAL I.	-	-
878-Escalão Logístico/2ªRM	Classe III - Inclusão e atualização de perfil de usuários do SCA (013-26)	16 jan.	-181	ST Richardson	ACOMPANHAR	Cl III - Comb		"1. Confeccionar Doc às OM
2. Aguardando novos integrantes da 4ª Seção para Pub em BI"		 334-E-4/EMG/Cmdo Bda Inf Amv
 54-S/4/CMDO	necessidade de combustível para a realização do Estágio de Motorista Militar	22 jan.	-175	Maj Filipe	RESOLVIDO	Cl III - Comb		1. A OMDS deverá consumir sua Cota de Comb Adm.	-	-
 202-E4/2ª DE	classe II: orientações a respeito da distribuição de capacetes modelo ACH	22 jan.	-175	Maj Filipe	RESOLVIDO	Cl II		1. Confeccionado Doc às OMDS.	705-E-4/EMG/Cmdo Bda Inf Amv	-
-	"DIEx sobre necessidade de Cl II (colchão, beliche e armário)
-  59-S4/EM/20º GAC Amv
- 25-S4/Cia C Bda Inf Amv
-  306-Escalão Logístico/2ªRM"	22 jan.	-175	ST Richardson	ACOMPANHAR	Cl II		- Consolidar as demandas em DIEx e encaminhar à 2ª RM		
 317-Fin/CCOp/Cmdo CMO	recursos necessários para Op PERSEU 2026	23 jan.	-174	Maj Filipe	RESOLVIDO	Orçamentário		1. Verificado necessidade de HV para Op Perseu - E3 e E5.	-	565-E-4/EMG/Cmdo Bda Inf Amv
-	Sol 800 l OD para 5º BI Amv (Ambulância) e remanejamento de cota UU	25 jan.	-172	Maj Filipe	RESOLVIDO	Cl III - Comb		1. Sol remanejamento de Comb ao 5º BI Amv.	-	"520-E-4/EMG/Cmdo Bda Inf Amv
664-E-4/EMG/Cmdo Bda Inf Amv
818-E-4/EMG/Cmdo Bda Inf Amv"
